epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3315,1.11627,3.38219,1.43356,0.12647,0.69481,0.26636,0.16979,1.27753,3.51665,1.6741,0.0003636,0.0003636,0.0003636
2,31.983,1.2206,2.27151,1.5197,0.28934,0.36175,0.30353,0.13004,1.78336,3.3836,2.25659,0.000719401,0.000719401,0.000719401
3,47.3263,1.2344,2.03845,1.51157,0.20067,0.34178,0.16931,0.08847,1.74467,3.65459,2.15877,0.00106054,0.00106054,0.00106054
4,62.5808,1.2199,1.97386,1.53398,0.26765,0.29878,0.28446,0.15627,1.52279,2.7056,1.93785,0.00104501,0.00104501,0.00104501
5,77.7457,1.23834,1.90437,1.5291,0.21266,0.30093,0.21261,0.1111,1.69734,2.77635,1.97909,0.00102301,0.00102301,0.00102301
6,92.9906,1.18735,1.79336,1.45948,0.67204,0.41195,0.48973,0.283,1.43776,2.26044,1.83392,0.00100101,0.00100101,0.00100101
7,108.172,1.20476,1.75869,1.50255,0.38068,0.49327,0.3965,0.22666,1.51876,2.47321,1.89816,0.000979013,0.000979013,0.000979013
8,123.386,1.13926,1.667,1.43335,0.47859,0.48909,0.44447,0.27603,1.40343,2.30121,1.80203,0.000957015,0.000957015,0.000957015
9,138.634,1.14304,1.61771,1.43701,0.34029,0.43337,0.36009,0.19113,1.57443,2.42933,1.85432,0.000935018,0.000935018,0.000935018
10,153.853,1.11136,1.58833,1.42969,0.48947,0.46661,0.49627,0.31539,1.30839,2.02722,1.74182,0.00091302,0.00091302,0.00091302
11,169.035,1.07965,1.52683,1.4054,0.54791,0.47733,0.48195,0.32594,1.29667,2.08186,1.68195,0.000891022,0.000891022,0.000891022
12,184.264,1.04056,1.43127,1.36766,0.52138,0.4136,0.4029,0.27512,1.29224,2.15919,1.69509,0.000869024,0.000869024,0.000869024
13,199.462,1.03293,1.37436,1.35857,0.52466,0.48665,0.48615,0.32063,1.37274,1.93478,1.70814,0.000847026,0.000847026,0.000847026
14,214.718,1.0108,1.32655,1.34575,0.47973,0.4868,0.47308,0.32096,1.29396,1.98124,1.68886,0.000825029,0.000825029,0.000825029
15,229.957,0.99785,1.31034,1.32928,0.596,0.44954,0.48096,0.3176,1.39229,2.03576,1.79076,0.000803031,0.000803031,0.000803031
16,245.244,1.01597,1.24897,1.31109,0.48354,0.50372,0.4577,0.30158,1.27125,2.12373,1.65761,0.000781033,0.000781033,0.000781033
17,260.432,0.97374,1.24213,1.31388,0.59816,0.44545,0.50338,0.3452,1.27524,1.8639,1.60308,0.000759035,0.000759035,0.000759035
18,275.641,0.94663,1.21946,1.29123,0.54629,0.51982,0.48047,0.32679,1.26564,1.94363,1.59302,0.000737037,0.000737037,0.000737037
19,290.904,0.93037,1.16074,1.27685,0.54829,0.49983,0.48514,0.33557,1.21323,1.88257,1.56953,0.00071504,0.00071504,0.00071504
20,306.127,0.92985,1.12044,1.27186,0.60214,0.42806,0.43838,0.26781,1.36296,2.04669,1.74433,0.000693042,0.000693042,0.000693042
21,321.547,0.90696,1.10618,1.25685,0.50835,0.4698,0.4304,0.29668,1.23591,2.11664,1.60629,0.000671044,0.000671044,0.000671044
22,336.768,0.91849,1.07797,1.26047,0.57605,0.4485,0.47128,0.34035,1.22767,1.8018,1.63072,0.000649046,0.000649046,0.000649046
23,352.029,0.89965,1.06705,1.2521,0.59394,0.48887,0.51048,0.33814,1.25758,1.88026,1.70945,0.000627048,0.000627048,0.000627048
24,367.248,0.88181,1.02424,1.23904,0.59257,0.4703,0.50885,0.34942,1.21871,1.788,1.61942,0.000605051,0.000605051,0.000605051
25,382.55,0.86977,1.01976,1.22354,0.7086,0.42479,0.54109,0.39341,1.1889,1.72053,1.57525,0.000583053,0.000583053,0.000583053
26,397.782,0.84679,0.99317,1.21061,0.60345,0.56636,0.55555,0.38459,1.19915,1.73149,1.60663,0.000561055,0.000561055,0.000561055
27,413.025,0.84678,0.95329,1.19957,0.56254,0.53923,0.52904,0.37909,1.22252,1.75812,1.61037,0.000539057,0.000539057,0.000539057
28,428.263,0.80507,0.89542,1.19186,0.64077,0.5696,0.57907,0.41664,1.2273,1.59962,1.59251,0.000517059,0.000517059,0.000517059
29,443.787,0.81495,0.9081,1.19375,0.69467,0.50632,0.5913,0.40514,1.24104,1.61483,1.65125,0.000495062,0.000495062,0.000495062
30,458.883,0.79977,0.87961,1.17573,0.6166,0.57347,0.57375,0.3969,1.21404,1.74834,1.59537,0.000473064,0.000473064,0.000473064
31,474.338,0.81347,0.88118,1.18404,0.57844,0.56157,0.55314,0.40057,1.1831,1.72521,1.55468,0.000451066,0.000451066,0.000451066
32,489.997,0.79544,0.86038,1.16543,0.54749,0.5489,0.5437,0.39136,1.20169,1.65801,1.58721,0.000429068,0.000429068,0.000429068
33,505.85,0.7708,0.82092,1.154,0.60193,0.55897,0.5601,0.405,1.18981,1.61486,1.57774,0.00040707,0.00040707,0.00040707
34,521.104,0.75953,0.8111,1.15554,0.62858,0.50439,0.55535,0.3992,1.17119,1.55024,1.55474,0.000385073,0.000385073,0.000385073
